id,command,category,description,example_output,man_reference
cmd-061,nano -l config.conf,Editor,Opens config.conf in Nano with line numbers.,[Interactive editor interface with line numbers],https://man7.org/linux/man-pages/man1/nano.1.html
cmd-062,cd ..,Navigation,Moves up one directory level.,"[No output, changes directory]",https://man7.org/linux/man-pages/man1/cd.1.html
cmd-063,ls -lh,Navigation,Lists files in long format with human-readable sizes.,-rw-r--r-- 1 user user 1.2M May 21 2025 file.txt,https://man7.org/linux/man-pages/man1/ls.1.html
cmd-064,cp file.txt file.bak,File Management,Creates a backup copy of file.txt as file.bak.,[No output if successful],https://man7.org/linux/man-pages/man1/cp.1.html
cmd-065,mv file.txt /tmp,File Management,Moves file.txt to the /tmp directory.,[No output if successful],https://man7.org/linux/man-pages/man1/mv.1.html
cmd-066,rm -i file.txt,File Management,Deletes file.txt with interactive confirmation.,rm: remove regular file 'file.txt'? y,https://man7.org/linux/man-pages/man1/rm.1.html
cmd-067,cat -n script.sh,Viewing,Displays script.sh with line numbers.,"1 #!/bin/bash
2 echo 'Hello, World!'",https://man7.org/linux/man-pages/man1/cat.1.html
cmd-068,less +G logfile.txt,Viewing,"Opens logfile.txt in less, starting at the end.",[Interactive display from end],https://man7.org/linux/man-pages/man1/less.1.html
cmd-069,head -n 20 access.log,Viewing,Displays the first 20 lines of access.log.,[First 20 lines of file],https://man7.org/linux/man-pages/man1/head.1.html
cmd-070,tail -n +2 error.log,Viewing,Displays error.log starting from the second line.,[All lines except the first],https://man7.org/linux/man-pages/man1/tail.1.html
cmd-071,cd -,Navigation,Returns to the previous directory.,"[No output, changes to previous directory]",https://man7.org/linux/man-pages/man1/cd.1.html
cmd-072,ls -t,Navigation,"Lists files sorted by modification time, newest first.",file1.txt file2.txt,https://man7.org/linux/man-pages/man1/ls.1.html
cmd-073,pwd -P,Navigation,"Prints the physical current directory, resolving symlinks.",/home/user/realpath,https://man7.org/linux/man-pages/man1/pwd.1.html
cmd-074,cp -p file.txt /backup,File Management,"Copies file.txt to /backup, preserving timestamps and permissions.",[No output if successful],https://man7.org/linux/man-pages/man1/cp.1.html
cmd-075,mv -i file.txt /tmp,File Management,Moves file.txt to /tmp with interactive prompt for overwrite.,mv: overwrite '/tmp/file.txt'? y,https://man7.org/linux/man-pages/man1/mv.1.html
cmd-076,rm -r dir1,File Management,Recursively deletes dir1 and its contents.,[No output if successful],https://man7.org/linux/man-pages/man1/rm.1.html
cmd-077,touch -t 202505211200 file.txt,File Management,"Sets file.txt's timestamp to May 21, 2025, 12:00.",[No output if successful],https://man7.org/linux/man-pages/man1/touch.1.html
cmd-078,mkdir newdir,File Management,Creates a directory named newdir.,[No output if successful],https://man7.org/linux/man-pages/man1/mkdir.1.html
cmd-079,cat > newfile.txt,Viewing,Creates or overwrites newfile.txt with input from stdin (Ctrl+D to end).,"[No output, waits for input]",https://man7.org/linux/man-pages/man1/cat.1.html
cmd-080,less +F logfile.txt,Viewing,"Monitors logfile.txt in less, similar to tail -f.",[Live updates of new lines],https://man7.org/linux/man-pages/man1/less.1.html
cmd-081,head -c 100 file.txt,Viewing,Displays the first 100 bytes of file.txt.,[First 100 bytes of file],https://man7.org/linux/man-pages/man1/head.1.html
cmd-082,tail -n 5 access.log,Viewing,Displays the last 5 lines of access.log.,[Last 5 lines of file],https://man7.org/linux/man-pages/man1/tail.1.html
cmd-083,uname -m,System Info,Displays the machine hardware architecture.,x86_64,https://man7.org/linux/man-pages/man1/uname.1.html
cmd-084,top -n 1,System Info,Runs top for one iteration and exits.,[Snapshot of process monitor],https://man7.org/linux/man-pages/man1/top.1.html
cmd-085,df -T,System Info,Shows disk usage with filesystem types.,"Filesystem Type 1K-blocks Used Available Use% Mounted on
/dev/sda1 ext4 104857600 52428800 52428800 50% /",https://man7.org/linux/man-pages/man1/df.1.html
cmd-086,free -t,System Info,"Displays total memory usage, including swap.","total used free shared buff/cache available
Mem: 8192 4096 2048 512 2048 4096
Swap: 2048 1024 1024
Total: 10240 5120 3072",https://man7.org/linux/man-pages/man1/free.1.html
cmd-087,chmod 644 file.txt,Permissions,"Sets file.txt to read/write for owner, read-only for others.",[No output if successful],https://man7.org/linux/man-pages/man1/chmod.1.html
cmd-088,chown -h user symlink,Permissions,Changes ownership of symlink to user without affecting the target.,[No output if successful],https://man7.org/linux/man-pages/man1/chown.1.html
cmd-089,apt autoremove,Package Management,Removes unused dependencies on Debian-based systems.,"Reading package lists... Done
0 to remove, 0 not upgraded.",https://man7.org/linux/man-pages/man8/apt.8.html
cmd-090,apt purge nginx,Package Management,Removes nginx and its configuration files on Debian-based systems.,"Removing nginx (1.18.0-6ubuntu14)...
Purging configuration files...",https://man7.org/linux/man-pages/man8/apt.8.html
cmd-091,yum remove httpd,Package Management,Uninstalls the Apache web server on CentOS/RHEL systems.,Removing: httpd-2.4.46-1.el8.x86_64,https://man7.org/linux/man-pages/man8/yum.8.html
cmd-092,dnf upgrade,Package Management,Upgrades all packages to the latest versions on Fedora-based systems.,Upgrading: python3-3.9.7-1.fc34.x86_64,https://man7.org/linux/man-pages/man8/dnf.8.html
cmd-093,ping -i 0.5 google.com,Networking,Sends ICMP echo requests to google.com every 0.5 seconds.,64 bytes from google.com: icmp_seq=1 ttl=117 time=20.0 ms,https://man7.org/linux/man-pages/man8/ping.8.html
cmd-094,ifconfig eth0 up,Networking,Enables the eth0 network interface.,[No output if successful],https://man7.org/linux/man-pages/man8/ifconfig.8.html
cmd-095,netstat -i,Networking,Displays network interface statistics.,"Iface MTU RX-OK RX-ERR RX-DRP RX-OVR TX-OK TX-ERR TX-DRP TX-OVR Flg
eth0 1500 12345 0 0 0 12345 0 0 0 BMRU",https://man7.org/linux/man-pages/man8/netstat.8.html
cmd-096,who,User Management,Lists currently logged-in users.,user pts/0 2025-05-21 11:02 (192.168.1.100),https://man7.org/linux/man-pages/man1/who.1.html
cmd-097,passwd newuser,User Management,Changes the password for newuser.,"Enter new UNIX password:
Retype new UNIX password:",https://man7.org/linux/man-pages/man1/passwd.1.html
cmd-098,userdel -r testuser,User Management,Deletes testuser and their home directory.,[No output if successful],https://man7.org/linux/man-pages/man8/userdel.8.html
cmd-099,ps -C nginx,Process,Lists processes with the command name nginx.,"PID TTY TIME CMD
1234 ? 00:00:01 nginx",https://man7.org/linux/man-pages/man1/ps.1.html
cmd-100,killall nginx,Process,Terminates all nginx processes.,[No output if successful],https://man7.org/linux/man-pages/man1/killall.1.html
cmd-101,htop -d 5,Process,Runs htop with a 0.5-second refresh interval.,[Interactive process monitor],https://man7.org/linux/man-pages/man1/htop.1.html
cmd-102,vim -R file.txt,Editor,Opens file.txt in Vim in read-only mode.,[Interactive editor interface],https://man7.org/linux/man-pages/man1/vim.1.html
cmd-103,nano -c config.conf,Editor,Opens config.conf in Nano with constant cursor position display.,[Interactive editor interface with cursor position],https://man7.org/linux/man-pages/man1/nano.1.html
cmd-104,cd /etc,Navigation,Changes the current directory to /etc.,"[No output, changes directory]",https://man7.org/linux/man-pages/man1/cd.1.html
cmd-105,ls -1,Navigation,Lists files in a single column.,"file1.txt
file2.txt",https://man7.org/linux/man-pages/man1/ls.1.html
cmd-106,cp -u file.txt /backup,File Management,Copies file.txt to /backup only if newer or missing.,[No output if successful],https://man7.org/linux/man-pages/man1/cp.1.html
cmd-107,mv -n file.txt /tmp,File Management,Moves file.txt to /tmp without overwriting existing files.,[No output if successful],https://man7.org/linux/man-pages/man1/mv.1.html
cmd-108,rm -v file.txt,File Management,Deletes file.txt with verbose output.,removed 'file.txt',https://man7.org/linux/man-pages/man1/rm.1.html
cmd-109,cat << EOF > script.sh,Viewing,Creates script.sh with input until 'EOF' is entered.,"[No output, waits for input]",https://man7.org/linux/man-pages/man1/cat.1.html
cmd-110,less -i logfile.txt,Viewing,Views logfile.txt in less with case-insensitive search.,[Interactive display with search],https://man7.org/linux/man-pages/man1/less.1.html
cmd-111,head -n -5 access.log,Viewing,Displays all but the last 5 lines of access.log.,[All lines except last 5],https://man7.org/linux/man-pages/man1/head.1.html
cmd-112,tail -q -n 3 file1.txt file2.txt,Viewing,Displays the last 3 lines of file1.txt and file2.txt without headers.,[Last 3 lines of each file],https://man7.org/linux/man-pages/man1/tail.1.html
cmd-113,uname -n,System Info,Displays the system's hostname.,host1,https://man7.org/linux/man-pages/man1/uname.1.html
cmd-114,df -i,System Info,Shows inode usage for filesystems.,"Filesystem Inodes IUsed IFree IUse% Mounted on
/dev/sda1 6553600 327680 6225920 5% /",https://man7.org/linux/man-pages/man1/df.1.html
cmd-115,chmod -R 750 /data,Permissions,"Recursively sets /data to rwx for owner, rx for group, none for others.",[No output if successful],https://man7.org/linux/man-pages/man1/chmod.1.html
cmd-116,chown :group file.txt,Permissions,Changes group ownership of file.txt to group.,[No output if successful],https://man7.org/linux/man-pages/man1/chown.1.html
cmd-117,apt clean,Package Management,Clears local repository of retrieved package files on Debian-based systems.,[No output if successful],https://man7.org/linux/man-pages/man8/apt.8.html
cmd-118,yum check-update,Package Management,Checks for available package updates on CentOS/RHEL systems.,httpd.x86_64 2.4.47-1.el8 updates,https://man7.org/linux/man-pages/man8/yum.8.html
cmd-119,dnf autoremove,Package Management,Removes unused dependencies on Fedora-based systems.,Removing: unused-package-1.0-1.fc34.x86_64,https://man7.org/linux/man-pages/man8/dnf.8.html
cmd-120,ping -c 2 192.168.1.1,Networking,Sends 2 ICMP echo requests to the IP 192.168.1.1.,"2 packets transmitted, 2 received, 0% packet loss, time 1002ms",https://man7.org/linux/man-pages/man8/ping.8.html
cmd-121,ifconfig eth0 down,Networking,Disables the eth0 network interface.,[No output if successful],https://man7.org/linux/man-pages/man8/ifconfig.8.html
cmd-122,netstat -r,Networking,Displays the kernel routing table.,"Destination Gateway Genmask Flags MSS Window irtt Iface
default 192.168.1.1 0.0.0.0 UG 0 0 0 eth0",https://man7.org/linux/man-pages/man8/netstat.8.html
cmd-123,w,User Management,Shows detailed information about logged-in users.,"11:02:00 up 1 day, 2:00, 1 user, load average: 0.00, 0.01, 0.05
USER TTY FROM LOGIN@ IDLE JCPU PCPU WHAT
user pts/0 192.168.1.100 11:02 0.00s 0.01s 0.00s w",https://man7.org/linux/man-pages/man1/w.1.html
cmd-124,usermod -aG sudo newuser,User Management,Adds newuser to the sudo group.,[No output if successful],https://man7.org/linux/man-pages/man8/usermod.8.html
cmd-125,groupadd newgroup,User Management,Creates a new group named newgroup.,[No output if successful],https://man7.org/linux/man-pages/man8/groupadd.8.html
cmd-126,ps -u user,Process,Lists processes owned by user.,"PID TTY TIME CMD
1234 ? 00:00:01 bash",https://man7.org/linux/man-pages/man1/ps.1.html
cmd-127,pkill -u user,Process,Terminates all processes owned by user.,[No output if successful],https://man7.org/linux/man-pages/man1/pkill.1.html
cmd-128,htop -t,Process,Runs htop with a tree view of processes.,[Interactive process monitor with tree view],https://man7.org/linux/man-pages/man1/htop.1.html
cmd-129,vim -c 'set number' file.txt,Editor,Opens file.txt in Vim with line numbers enabled.,[Interactive editor interface with line numbers],https://man7.org/linux/man-pages/man1/vim.1.html
cmd-130,nano -w config.conf,Editor,Opens config.conf in Nano without wrapping long lines.,[Interactive editor interface],https://man7.org/linux/man-pages/man1/nano.1.html
cmd-131,cd /usr/local/bin,Navigation,Changes the current directory to /usr/local/bin.,"[No output, changes directory]",https://man7.org/linux/man-pages/man1/cd.1.html
cmd-132,ls -S,Navigation,"Lists files sorted by size, largest first.",largefile.txt smallfile.txt,https://man7.org/linux/man-pages/man1/ls.1.html
cmd-133,cp -v file.txt /backup,File Management,Copies file.txt to /backup with verbose output.,'file.txt' -> '/backup/file.txt',https://man7.org/linux/man-pages/man1/cp.1.html
cmd-134,mv -u dir1 /archive,File Management,Moves dir1 to /archive only if newer or missing.,[No output if successful],https://man7.org/linux/man-pages/man1/mv.1.html
cmd-135,touch -a file.txt,File Management,Updates the access time of file.txt.,[No output if successful],https://man7.org/linux/man-pages/man1/touch.1.html
cmd-136,cat -s file.txt,Viewing,"Displays file.txt, suppressing multiple blank lines.",[File content with single blank lines],https://man7.org/linux/man-pages/man1/cat.1.html
cmd-137,less -M logfile.txt,Viewing,Views logfile.txt in less with verbose status.,[Interactive display with status line],https://man7.org/linux/man-pages/man1/less.1.html
cmd-138,head -q -n 2 file1.txt file2.txt,Viewing,Displays the first 2 lines of file1.txt and file2.txt without headers.,[First 2 lines of each file],https://man7.org/linux/man-pages/man1/head.1.html
cmd-139,tail -v -n 2 error.log,Viewing,Displays the last 2 lines of error.log with file headers.,"==> error.log <==
[Last 2 lines]",https://man7.org/linux/man-pages/man1/tail.1.html
cmd-140,free -s 2,System Info,Displays memory usage every 2 seconds.,[Continuous memory usage updates],https://man7.org/linux/man-pages/man1/free.1.html
cmd-141,chmod u+x script.sh,Permissions,Adds execute permission for the owner of script.sh.,[No output if successful],https://man7.org/linux/man-pages/man1/chmod.1.html
cmd-142,chown -R user:group /var/www,Permissions,Recursively changes ownership of /var/www to user and group.,[No output if successful],https://man7.org/linux/man-pages/man1/chown.1.html
cmd-143,apt list --installed,Package Management,Lists all installed packages on Debian-based systems.,"nginx/focal,now 1.18.0-6ubuntu14 amd64 [installed]
python3/focal,now 3.8.5-1 amd64 [installed]",https://man7.org/linux/man-pages/man8/apt.8.html
cmd-144,yum history,Package Management,Displays the transaction history of yum on CentOS/RHEL systems.,"ID | Login user | Date and time | Action | Altered
1 | root | 2025-05-21 11:02 | Install | 5",https://man7.org/linux/man-pages/man8/yum.8.html
cmd-145,dnf provides /bin/bash,Package Management,Finds which package provides /bin/bash on Fedora-based systems.,"bash-5.1.8-2.fc34.x86_64 : The GNU Bourne Again shell
Repo : @System",https://man7.org/linux/man-pages/man8/dnf.8.html
cmd-146,ping -s 100 google.com,Networking,Sends ICMP echo requests to google.com with 100-byte packets.,64 bytes from google.com: icmp_seq=1 ttl=117 time=20.0 ms,https://man7.org/linux/man-pages/man8/ping.8.html
cmd-147,netstat -s,Networking,Displays network protocol statistics.,"Ip:
12345 total packets received
0 forwarded
0 incoming packets discarded",https://man7.org/linux/man-pages/man8/netstat.8.html
cmd-148,last,User Management,Shows a list of recent user logins.,"user pts/0 192.168.1.100 Wed May 21 11:02 still logged in
reboot system boot 5.15.0-73 Wed May 21 09:02",https://man7.org/linux/man-pages/man1/last.1.html
cmd-149,ps -p 1234,Process,Displays information about the process with PID 1234.,"PID TTY TIME CMD
1234 ? 00:00:01 nginx",https://man7.org/linux/man-pages/man1/ps.1.html
cmd-150,vim -b file.bin,Editor,Opens file.bin in Vim in binary mode.,[Interactive editor interface for binary file],https://man7.org/linux/man-pages/man1/vim.1.html
cmd-151,cd /tmp,Navigation,Changes the current directory to /tmp.,"[No output, changes directory]",https://man7.org/linux/man-pages/man1/cd.1.html
cmd-152,ls -F,Navigation,"Lists files with indicators (e.g., / for directories, * for executables).",dir1/ file1.txt*,https://man7.org/linux/man-pages/man1/ls.1.html
cmd-153,pwd -L,Navigation,"Prints the logical current directory, preserving symlinks.",/home/user/symlink,https://man7.org/linux/man-pages/man1/pwd.1.html
cmd-154,ls -X,Navigation,Lists files sorted by file extension.,file.txt file.sh,https://man7.org/linux/man-pages/man1/ls.1.html
cmd-155,cd /usr/share,Navigation,Changes the current directory to /usr/share.,"[No output, changes directory]",https://man7.org/linux/man-pages/man1/cd.1.html
cmd-156,ls --color=auto,Navigation,Lists files with colorized output based on file type.,[Colorized file list],https://man7.org/linux/man-pages/man1/ls.1.html
cmd-157,ls -i,Navigation,Lists files with their inode numbers.,123456 file.txt,https://man7.org/linux/man-pages/man1/ls.1.html
cmd-158,cd ~user,Navigation,Changes to the home directory of user.,"[No output, changes directory]",https://man7.org/linux/man-pages/man1/cd.1.html
cmd-159,ls -r,Navigation,Lists files in reverse order.,file2.txt file1.txt,https://man7.org/linux/man-pages/man1/ls.1.html
cmd-160,ls -d */,Navigation,Lists only directories in the current directory.,dir1/ dir2/,https://man7.org/linux/man-pages/man1/ls.1.html
cmd-161,cp -a dir1 /backup,File Management,"Copies dir1 to /backup, preserving structure and attributes.",[No output if successful],https://man7.org/linux/man-pages/man1/cp.1.html
cmd-162,mv -b file.txt /tmp,File Management,"Moves file.txt to /tmp, creating a backup if it exists.",[No output if successful],https://man7.org/linux/man-pages/man1/mv.1.html
cmd-163,rm -f file.txt,File Management,Deletes file.txt without prompting.,[No output if successful],https://man7.org/linux/man-pages/man1/rm.1.html
cmd-164,touch -c file.txt,File Management,Updates the timestamp of file.txt without creating it if it doesn't exist.,[No output if successful],https://man7.org/linux/man-pages/man1/touch.1.html
cmd-165,mkdir -m 700 secure_dir,File Management,Creates secure_dir with rwx permissions for owner only.,[No output if successful],https://man7.org/linux/man-pages/man1/mkdir.1.html
cmd-166,cp -l file1.txt file2.txt,File Management,Creates a hard link file2.txt to file1.txt.,[No output if successful],https://man7.org/linux/man-pages/man1/cp.1.html
cmd-167,mv -f file.txt /tmp,File Management,"Moves file.txt to /tmp, overwriting without prompting.",[No output if successful],https://man7.org/linux/man-pages/man1/mv.1.html
cmd-168,rmdir empty_dir,File Management,Removes the empty directory empty_dir.,[No output if successful],https://man7.org/linux/man-pages/man1/rmdir.1.html
cmd-169,touch -m file.txt,File Management,Updates the modification time of file.txt.,[No output if successful],https://man7.org/linux/man-pages/man1/touch.1.html
cmd-170,cp -s file1.txt link.txt,File Management,Creates a symbolic link link.txt to file1.txt.,[No output if successful],https://man7.org/linux/man-pages/man1/cp.1.html
cmd-171,cat -b file.txt,Viewing,Displays file.txt with non-blank lines numbered.,"1 Content of line
2 Another line",https://man7.org/linux/man-pages/man1/cat.1.html
cmd-172,less -S logfile.txt,Viewing,Views logfile.txt in less without wrapping long lines.,[Interactive display without line wrap],https://man7.org/linux/man-pages/man1/less.1.html
cmd-173,head -v access.log,Viewing,Displays the first 10 lines of access.log with a file header.,"==> access.log <==
[First 10 lines]",https://man7.org/linux/man-pages/man1/head.1.html
cmd-174,tail -c 100 error.log,Viewing,Displays the last 100 bytes of error.log.,[Last 100 bytes of file],https://man7.org/linux/man-pages/man1/tail.1.html
cmd-175,cat -e file.txt,Viewing,Displays file.txt with end-of-line markers ($) and non-printable characters.,"Line 1$
Line 2$",https://man7.org/linux/man-pages/man1/cat.1.html
